  0.1000D+00  0.2289D-06
   0.125997314   0.113225077   0.113225077
   0.012162718   0.024000000   0.024000000
   0.000004397   0.000004412   0.000004412
   0.001502845   0.001500000   0.001500000
   0.002732538   0.002972122   0.002972122
   0.001677657   0.000927878   0.000927878
   0.006775370   0.005000000   0.005000000
   0.000003689   0.000002821   0.000002821
   0.000507021   0.000197179   0.000197179
   0.001402275   0.001000029   0.001000029
   0.000000785   0.000000285   0.000000285
   0.000045304   0.005000000   0.005000000
  0.1000D+00  0.5839D-06
  1.3216  0.0000  0.0000
 23.3574  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140201538   0.140000000   0.140000000
   0.005946106   0.004900000   0.004900000
   0.126089138   0.113225077   0.113225077
   0.012075459   0.024000000   0.024000000
   0.000004396   0.000004412   0.000004412
   0.001502549   0.001500000   0.001500000
   0.002710828   0.002972122   0.002972122
   0.001676049   0.000927878   0.000927878
   0.006764409   0.005000000   0.005000000
   0.000003753   0.000002821   0.000002821
   0.000519439   0.000197179   0.000197179
   0.001404783   0.001000029   0.001000029
   0.000000792   0.000000285   0.000000285
   0.000044607   0.005000000   0.005000000
  0.1000D+00  0.6067D-06
  1.3416  0.0000  0.0000
 24.2671  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140125447   0.140000000   0.140000000
   0.005975796   0.004900000   0.004900000
   0.126173821   0.113225077   0.113225077
   0.011996149   0.024000000   0.024000000
   0.000004396   0.000004412   0.000004412
   0.001502276   0.001500000   0.001500000
   0.002690663   0.002972122   0.002972122
   0.001674298   0.000927878   0.000927878
   0.006753796   0.005000000   0.005000000
   0.000003816   0.000002821   0.000002821
   0.000531552   0.000197179   0.000197179
   0.001407208   0.001000029   0.001000029
   0.000000799   0.000000285   0.000000285
   0.000043977   0.005000000   0.005000000
  0.1000D+00  0.6293D-06
  1.3605  0.0000  0.0000
 25.1739  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.140053686   0.140000000   0.140000000
   0.006004524   0.004900000   0.004900000
   0.126253411   0.113225077   0.113225077
   0.011922705   0.024000000   0.024000000
   0.000004395   0.000004412   0.000004412
   0.001502022   0.001500000   0.001500000
   0.002671758   0.002972122   0.002972122
   0.001672516   0.000927878   0.000927878
   0.006743718   0.005000000   0.005000000
   0.000003878   0.000002821   0.000002821
   0.000543412   0.000197179   0.000197179
   0.001409479   0.001000029   0.001000029
   0.000000805   0.000000285   0.000000285
   0.000043401   0.005000000   0.005000000
  0.1000D+00  0.6519D-06
  1.3786  0.0000  0.0000
 26.0767  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139985611   0.140000000   0.140000000
   0.006032428   0.004900000   0.004900000
   0.126329525   0.113225077   0.113225077
   0.011853495   0.024000000   0.024000000
   0.000004394   0.000004412   0.000004412
   0.001501786   0.001500000   0.001500000
   0.002653881   0.002972122   0.002972122
   0.001670784   0.000927878   0.000927878
   0.006734301   0.005000000   0.005000000
   0.000003938   0.000002821   0.000002821
   0.000555061   0.000197179   0.000197179
   0.001411544   0.001000029   0.001000029
   0.000000810   0.000000285   0.000000285
   0.000042872   0.005000000   0.005000000
  0.1000D+00  0.6744D-06
  1.3958  0.0000  0.0000
 26.9746  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139920687   0.140000000   0.140000000
   0.006059629   0.004900000   0.004900000
   0.126403408   0.113225077   0.113225077
   0.011787257   0.024000000   0.024000000
   0.000004394   0.000004412   0.000004412
   0.001501565   0.001500000   0.001500000
   0.002636839   0.002972122   0.002972122
   0.001669160   0.000927878   0.000927878
   0.006725619   0.005000000   0.005000000
   0.000003998   0.000002821   0.000002821
   0.000566539   0.000197179   0.000197179
   0.001413365   0.001000029   0.001000029
   0.000000816   0.000000285   0.000000285
   0.000042383   0.005000000   0.005000000
  0.1000D+00  0.6967D-06
  1.4125  0.0000  0.0000
 27.8673  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139858476   0.140000000   0.140000000
   0.006086231   0.004900000   0.004900000
   0.126476002   0.113225077   0.113225077
   0.011723034   0.024000000   0.024000000
   0.000004393   0.000004412   0.000004412
   0.001501358   0.001500000   0.001500000
   0.002620479   0.002972122   0.002972122
   0.001667684   0.000927878   0.000927878
   0.006717711   0.005000000   0.005000000
   0.000004056   0.000002821   0.000002821
   0.000577879   0.000197179   0.000197179
   0.001414919   0.001000029   0.001000029
   0.000000821   0.000000285   0.000000285
   0.000041928   0.005000000   0.005000000
  0.1000D+00  0.7189D-06
  1.4287  0.0000  0.0000
 28.7543  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139798612   0.140000000   0.140000000
   0.006112318   0.004900000   0.004900000
   0.126548011   0.113225077   0.113225077
   0.011660114   0.024000000   0.024000000
   0.000004393   0.000004412   0.000004412
   0.001501164   0.001500000   0.001500000
   0.002604677   0.002972122   0.002972122
   0.001666378   0.000927878   0.000927878
   0.006710586   0.005000000   0.005000000
   0.000004113   0.000002821   0.000002821
   0.000589108   0.000197179   0.000197179
   0.001416193   0.001000029   0.001000029
   0.000000826   0.000000285   0.000000285
   0.000041502   0.005000000   0.005000000
  0.1000D+00  0.7409D-06
  1.4444  0.0000  0.0000
 29.6355  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139740800   0.140000000   0.140000000
   0.006137964   0.004900000   0.004900000
   0.126619942   0.113225077   0.113225077
   0.011597981   0.024000000   0.024000000
   0.000004392   0.000004412   0.000004412
   0.001500981   0.001500000   0.001500000
   0.002589333   0.002972122   0.002972122
   0.001665255   0.000927878   0.000927878
   0.006704235   0.005000000   0.005000000
   0.000004169   0.000002821   0.000002821
   0.000600248   0.000197179   0.000197179
   0.001417181   0.001000029   0.001000029
   0.000000831   0.000000285   0.000000285
   0.000041102   0.005000000   0.005000000
  0.1000D+00  0.7628D-06
  1.4598  0.0000  0.0000
 30.5108  9.0000  9.0000
  0.0000  0.0020  0.0020
