


    om1   omdvr       omavr

  absolute delivery

 nae   -0.3685E-02 -0.5266E-02 -0.2936E-02 -0.4460E-02 -0.7849E-02
 urea   0.1600E-02  0.1939E-02  0.4122E-02  0.3719E-02  0.2978E-02
 fvc    0.1600E+00  0.2188E+00  0.2327E+00  0.2886E+00  0.3555E+00

  absolute reabsorption

 na    -0.1401E-01 -0.2327E-02 -0.9743E-02 -0.6428E-02 -0.3251E-01
 k     -0.2396E-02 -0.6520E-03 -0.9080E-03  0.1239E-02 -0.2717E-02
 hco3  -0.1613E-02  0.2252E-02 -0.1595E-02 -0.3385E-02 -0.4341E-02
 nh4   -0.3200E-04 -0.7800E-04 -0.7100E-04  0.4000E-05 -0.1770E-03
 nae    0.1581E-02 -0.2330E-02  0.1524E-02  0.3389E-02  0.4164E-02
 urea  -0.3390E-03 -0.2183E-02  0.4030E-03  0.7410E-03 -0.1378E-02
 fvc   -0.5885E-01 -0.1390E-01 -0.5585E-01 -0.6695E-01 -0.1955E+00

  reabsorption relative to segmental delivery

 na        -0.6082     -0.0628     -0.2474     -0.1309     -1.4111
 k         -2.9950     -0.2040     -0.2360      0.2605     -3.3963
 hco3      -0.4032      0.4012     -0.4746     -0.6830     -1.0852
 nh4       -0.1016     -0.2248     -0.1671      0.0081     -0.5619
 nae       -0.4290      0.4425     -0.5191     -0.7599     -1.1300
 urea      -0.2119     -1.1258      0.0978      0.1992     -0.8613
 fvc       -0.3678     -0.0635     -0.2400     -0.2320     -1.2221

  reabsorption relative to initial delivery

 na        -0.6082     -0.1010     -0.4229     -0.2790     -1.4111
 k         -2.9950     -0.8150     -1.1350      1.5487     -3.3963
 hco3      -0.4032      0.5630     -0.3988     -0.8462     -1.0852
 nh4       -0.1016     -0.2476     -0.2254      0.0127     -0.5619
 nae       -0.4290      0.6323     -0.4136     -0.9197     -1.1300
 urea      -0.2119     -1.3644      0.2519      0.4631     -0.8613
 fvc       -0.3678     -0.0869     -0.3491     -0.4184     -1.2221



    im3   oidvr       imdvr       imavr       oiavr

  absolute delivery

 na     0.1152E-01  0.1853E-01  0.2009E-01  0.2503E-01  0.2822E-01
 k      0.4000E-03  0.1598E-02  0.1934E-02  0.2424E-02  0.1787E-02
 hco3   0.2000E-02  0.2807E-02  0.1532E-02  0.2521E-02  0.4234E-02
 nh4    0.1580E-03  0.1740E-03  0.2260E-03  0.2530E-03  0.2500E-03
 nae   -0.1842E-02 -0.2633E-02 -0.1306E-02 -0.2268E-02 -0.3984E-02
 urea   0.8000E-03  0.9690E-03  0.3274E-02  0.1895E-02  0.1513E-02
 fvc    0.8000E-01  0.1094E+00  0.1196E+00  0.1470E+00  0.1806E+00

  absolute reabsorption

 na    -0.7007E-02 -0.1564E-02 -0.4940E-02 -0.3190E-02 -0.1670E-01
 k     -0.1198E-02 -0.3360E-03 -0.4900E-03  0.6370E-03 -0.1387E-02
 hco3  -0.8070E-03  0.1275E-02 -0.9890E-03 -0.1713E-02 -0.2234E-02
 nh4   -0.1600E-04 -0.5200E-04 -0.2700E-04  0.3000E-05 -0.9200E-04
 nae    0.7910E-03 -0.1327E-02  0.9620E-03  0.1716E-02  0.2142E-02
 urea  -0.1690E-03 -0.2305E-02  0.1379E-02  0.3820E-03 -0.7130E-03
 fvc   -0.2942E-01 -0.1016E-01 -0.2739E-01 -0.3360E-01 -0.1006E+00

  reabsorption relative to segmental delivery

 na        -0.6082     -0.0844     -0.2459     -0.1274     -1.4497
 k         -2.9950     -0.2103     -0.2534      0.2628     -3.4675
 hco3      -0.4035      0.4542     -0.6456     -0.6795     -1.1170
 nh4       -0.1013     -0.2989     -0.1195      0.0119     -0.5823
 nae       -0.4294      0.5040     -0.7366     -0.7566     -1.1629
 urea      -0.2112     -2.3787      0.4212      0.2016     -0.8912
 fvc       -0.3678     -0.0929     -0.2291     -0.2286     -1.2573

  reabsorption relative to initial delivery

 na        -0.6082     -0.1358     -0.4288     -0.2769     -1.4497
 k         -2.9950     -0.8400     -1.2250      1.5925     -3.4675
 hco3      -0.4035      0.6375     -0.4945     -0.8565     -1.1170
 nh4       -0.1013     -0.3291     -0.1709      0.0190     -0.5823
 nae       -0.4294      0.7204     -0.5223     -0.9316     -1.1629
 urea      -0.2112     -2.8812      1.7237      0.4775     -0.8912
 fvc       -0.3678     -0.1270     -0.3424     -0.4200     -1.2573



    im4   oidvr       imdvr       imavr       oiavr

  absolute delivery

 na     0.5760E-02  0.9263E-02  0.1016E-01  0.1274E-01  0.1433E-01
 k      0.2000E-03  0.7990E-03  0.9770E-03  0.1234E-02  0.9080E-03
 hco3   0.1000E-02  0.1403E-02  0.7300E-03  0.1282E-02  0.2149E-02
 nh4    0.7900E-04  0.8700E-04  0.1140E-03  0.1290E-03  0.1270E-03
 nae   -0.9210E-03 -0.1316E-02 -0.6160E-03 -0.1153E-02 -0.2022E-02
 urea   0.4000E-03  0.4850E-03  0.3473E-02  0.9640E-03  0.7680E-03
 fvc    0.4000E-01  0.5471E-01  0.6087E-01  0.7478E-01  0.9168E-01

  absolute reabsorption

 na    -0.3503E-02 -0.8920E-03 -0.2586E-02 -0.1589E-02 -0.8570E-02
 k     -0.5990E-03 -0.1780E-03 -0.2570E-03  0.3260E-03 -0.7080E-03
 hco3  -0.4030E-03  0.6730E-03 -0.5520E-03 -0.8670E-03 -0.1149E-02
 nh4   -0.8000E-05 -0.2700E-04 -0.1500E-04  0.2000E-05 -0.4800E-04
 nae    0.3950E-03 -0.7000E-03  0.5370E-03  0.8690E-03  0.1101E-02
 urea  -0.8500E-04 -0.2988E-02  0.2509E-02  0.1960E-03 -0.3680E-03
 fvc   -0.1471E-01 -0.6159E-02 -0.1391E-01 -0.1690E-01 -0.5168E-01

  reabsorption relative to segmental delivery

 na        -0.6082     -0.0963     -0.2547     -0.1247     -1.4878
 k         -2.9950     -0.2228     -0.2631      0.2642     -3.5400
 hco3      -0.4030      0.4797     -0.7562     -0.6763     -1.1490
 nh4       -0.1013     -0.3103     -0.1316      0.0155     -0.6076
 nae       -0.4289      0.5319     -0.8718     -0.7537     -1.1954
 urea      -0.2125     -6.1608      0.7224      0.2033     -0.9200
 fvc       -0.3678     -0.1126     -0.2285     -0.2260     -1.2919

  reabsorption relative to initial delivery

 na        -0.6082     -0.1549     -0.4490     -0.2759     -1.4878
 k         -2.9950     -0.8900     -1.2850      1.6300     -3.5400
 hco3      -0.4030      0.6730     -0.5520     -0.8670     -1.1490
 nh4       -0.1013     -0.3418     -0.1899      0.0253     -0.6076
 nae       -0.4289      0.7600     -0.5831     -0.9435     -1.1954
 urea      -0.2125     -7.4700      6.2725      0.4900     -0.9200
 fvc       -0.3678     -0.1540     -0.3477     -0.4225     -1.2919



    im5   oidvr       imdvr       imavr       oiavr

  absolute delivery

 na     0.2880E-02  0.4632E-02  0.5316E-02  0.6482E-02  0.7275E-02
 k      0.1000E-03  0.4000E-03  0.5130E-03  0.6280E-03  0.4610E-03
 hco3   0.5000E-03  0.7020E-03  0.3690E-03  0.6510E-03  0.1090E-02
 nh4    0.3900E-04  0.4300E-04  0.5900E-04  0.6600E-04  0.6400E-04
 nae   -0.4610E-03 -0.6590E-03 -0.3100E-03 -0.5850E-03 -0.1026E-02
 urea   0.2000E-03  0.2420E-03  0.1745E-02  0.4910E-03  0.3900E-03
 fvc    0.2000E-01  0.2736E-01  0.3107E-01  0.3803E-01  0.4653E-01

  absolute reabsorption

 na    -0.1752E-02 -0.6840E-03 -0.1166E-02 -0.7930E-03 -0.4395E-02
 k     -0.3000E-03 -0.1130E-03 -0.1150E-03  0.1670E-03 -0.3610E-03
 hco3  -0.2020E-03  0.3330E-03 -0.2820E-03 -0.4390E-03 -0.5900E-03
 nh4   -0.4000E-05 -0.1600E-04 -0.7000E-05  0.2000E-05 -0.2500E-04
 nae    0.1980E-03 -0.3490E-03  0.2750E-03  0.4410E-03  0.5650E-03
 urea  -0.4200E-04 -0.1503E-02  0.1254E-02  0.1010E-03 -0.1900E-03
 fvc   -0.7356E-02 -0.3716E-02 -0.6954E-02 -0.8507E-02 -0.2653E-01

  reabsorption relative to segmental delivery

 na        -0.6083     -0.1477     -0.2193     -0.1223     -1.5260
 k         -3.0000     -0.2825     -0.2242      0.2659     -3.6100
 hco3      -0.4040      0.4744     -0.7642     -0.6743     -1.1800
 nh4       -0.1026     -0.3721     -0.1186      0.0303     -0.6410
 nae       -0.4295      0.5296     -0.8871     -0.7538     -1.2256
 urea      -0.2100     -6.2107      0.7186      0.2057     -0.9500
 fvc       -0.3678     -0.1358     -0.2238     -0.2237     -1.3266

  reabsorption relative to initial delivery

 na        -0.6083     -0.2375     -0.4049     -0.2753     -1.5260
 k         -3.0000     -1.1300     -1.1500      1.6700     -3.6100
 hco3      -0.4040      0.6660     -0.5640     -0.8780     -1.1800
 nh4       -0.1026     -0.4103     -0.1795      0.0513     -0.6410
 nae       -0.4295      0.7570     -0.5965     -0.9566     -1.2256
 urea      -0.2100     -7.5150      6.2700      0.5050     -0.9500
 fvc       -0.3678     -0.1858     -0.3477     -0.4254     -1.3266



  allim   oidvr       imdvr       imavr       oiavr

  absolute delivery

 na     0.8928E-01  0.1436E+00  0.1517E+00  0.1884E+00  0.2138E+00
 k      0.3100E-02  0.1238E-01  0.1478E-01  0.1824E-01  0.1353E-01
 hco3   0.1550E-01  0.2175E-01  0.1403E-01  0.1902E-01  0.3211E-01
 nh4    0.1222E-02  0.1345E-02  0.1599E-02  0.1904E-02  0.1893E-02
 nae   -0.1428E-01 -0.2041E-01 -0.1243E-01 -0.1712E-01 -0.3021E-01
 urea   0.6200E-02  0.7512E-02  0.1848E-01  0.1426E-01  0.1146E-01
 fvc    0.6200E+00  0.8480E+00  0.8961E+00  0.1107E+01  0.1368E+01

  absolute reabsorption

 na    -0.5430E-01 -0.8128E-02 -0.3668E-01 -0.2540E-01 -0.1245E+00
 k     -0.9285E-02 -0.2391E-02 -0.3462E-02  0.4703E-02 -0.1043E-01
 hco3  -0.6251E-02  0.7717E-02 -0.4989E-02 -0.1308E-01 -0.1661E-01
 nh4   -0.1230E-03 -0.2540E-03 -0.3050E-03  0.1100E-04 -0.6710E-03
 nae    0.6128E-02 -0.7971E-02  0.4684E-02  0.1310E-01  0.1594E-01
 urea  -0.1312E-02 -0.1097E-01  0.4220E-02  0.2803E-02 -0.5259E-02
 fvc   -0.2280E+00 -0.4806E-01 -0.2110E+00 -0.2614E+00 -0.7484E+00

  reabsorption relative to segmental delivery

 na        -0.6082     -0.0566     -0.2417     -0.1348     -1.3946
 k         -2.9952     -0.1931     -0.2343      0.2579     -3.3661
 hco3      -0.4033      0.3548     -0.3555     -0.6879     -1.0715
 nh4       -0.1007     -0.1888     -0.1907      0.0058     -0.5491
 nae       -0.4292      0.3906     -0.3767     -0.7650     -1.1162
 urea      -0.2116     -1.4603      0.2283      0.1965     -0.8482
 fvc       -0.3678     -0.0567     -0.2354     -0.2361     -1.2071

  reabsorption relative to initial delivery

 na        -0.6082     -0.0910     -0.4108     -0.2845     -1.3946
 k         -2.9952     -0.7713     -1.1168      1.5171     -3.3661
 hco3      -0.4033      0.4979     -0.3219     -0.8442     -1.0715
 nh4       -0.1007     -0.2079     -0.2496      0.0090     -0.5491
 nae       -0.4292      0.5583     -0.3281     -0.9172     -1.1162
 urea      -0.2116     -1.7694      0.6806      0.4521     -0.8482
 fvc       -0.3678     -0.0775     -0.3403     -0.4215     -1.2071



     mr   omdvr       omavr

  absolute delivery

 na     0.1659E+00  0.2240E+00  0.2890E+00
 k      0.5760E-02  0.1216E-01  0.1518E-01
 hco3   0.2880E-01  0.3760E-01  0.4338E-01
 nh4    0.2270E-02  0.2311E-02  0.2724E-02
 nae   -0.2653E-01 -0.3529E-01 -0.4066E-01
 urea   0.1152E-01  0.1136E-01  0.1354E-01
 fvc    0.1152E+01  0.1548E+01  0.1989E+01

  absolute reabsorption

 na    -0.5813E-01 -0.6497E-01 -0.1231E+00
 k     -0.6396E-02 -0.3025E-02 -0.9421E-02
 hco3  -0.8803E-02 -0.5777E-02 -0.1458E-01
 nh4   -0.4100E-04 -0.4130E-03 -0.4540E-03
 nae    0.8762E-02  0.5364E-02  0.1413E-01
 urea   0.1570E-03 -0.2182E-02 -0.2025E-02
 fvc   -0.3957E+00 -0.4418E+00 -0.8375E+00

  reabsorption relative to segmental delivery

 na        -0.3504     -0.2900     -0.7421
 k         -1.1104     -0.2488     -1.6356
 hco3      -0.3057     -0.1536     -0.5063
 nh4       -0.0181     -0.1787     -0.2000
 nae       -0.3303     -0.1520     -0.5325
 urea       0.0136     -0.1920     -0.1758
 fvc       -0.3435     -0.2854     -0.7270

  reabsorption relative to initial delivery

 na        -0.3504     -0.3916     -0.7421
 k         -1.1104     -0.5252     -1.6356
 hco3      -0.3057     -0.2006     -0.5063
 nh4       -0.0181     -0.1819     -0.2000
 nae       -0.3303     -0.2022     -0.5325
 urea       0.0136     -0.1894     -0.1758
 fvc       -0.3435     -0.3835     -0.7270


     net excretion OM+IM
 na         0.4979
 k          0.0457
 hco3       0.0529
 nh4        0.0010
 nae       -0.0518
 urea       0.0151
 fvc        2.9293
